reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,unique_pctg,num_images,n_bins
L2,0.001,41,0.7057,0.98344,conv3,val,100.0,10000,30
L2,0.001,41,0.7057,0.98344,fc1,train,23.812,25000,30
L2,0.001,41,0.7057,0.98344,fc1,val,33.81,10000,30
L2,0.0015,43,0.6993,0.96996,conv1,train,100.0,25000,30
L2,0.0015,43,0.6993,0.96996,conv1,val,100.0,10000,30
L2,0.0015,43,0.6993,0.96996,conv3,train,99.968,25000,30
L2,0.0015,43,0.6993,0.96996,conv3,val,99.99,10000,30
L2,0.0015,43,0.6993,0.96996,fc1,train,19.296,25000,30
L2,0.0015,43,0.6993,0.96996,fc1,val,27.750000000000004,10000,30
L2,0.002,27,0.7001,0.89212,conv1,train,100.0,25000,30
L2,0.002,27,0.7001,0.89212,conv1,val,100.0,10000,30
L2,0.002,27,0.7001,0.89212,conv3,train,99.22,25000,30
L2,0.002,27,0.7001,0.89212,conv3,val,99.72,10000,30
L2,0.002,27,0.7001,0.89212,fc1,train,6.152,25000,30
L2,0.002,27,0.7001,0.89212,fc1,val,9.59,10000,30
L2,0.003,45,0.703,0.8708,conv1,train,100.0,25000,30
L2,0.003,45,0.703,0.8708,conv1,val,100.0,10000,30
L2,0.003,45,0.703,0.8708,conv3,train,95.212,25000,30
L2,0.003,45,0.703,0.8708,conv3,val,97.98,10000,30
L2,0.003,45,0.703,0.8708,fc1,train,2.512,25000,30
L2,0.003,45,0.703,0.8708,fc1,val,4.34,10000,30
L2,0.005,60,0.6829,0.751,conv1,train,100.0,25000,30
L2,0.005,60,0.6829,0.751,conv1,val,100.0,10000,30
L2,0.005,60,0.6829,0.751,conv3,train,48.192,25000,30
L2,0.005,60,0.6829,0.751,conv3,val,62.970000000000006,10000,30
L2,0.005,60,0.6829,0.751,fc1,train,0.432,25000,30
L2,0.005,60,0.6829,0.751,fc1,val,0.8699999999999999,10000,30
L2,0.01,52,0.5464,0.5654,conv1,train,100.0,25000,30
L2,0.01,52,0.5464,0.5654,conv1,val,100.0,10000,30
L2,0.01,52,0.5464,0.5654,conv3,train,20.380000000000003,25000,30
L2,0.01,52,0.5464,0.5654,conv3,val,31.979999999999997,10000,30
L2,0.01,52,0.5464,0.5654,fc1,train,0.27999999999999997,25000,30
L2,0.01,52,0.5464,0.5654,fc1,val,0.5499999999999999,10000,30
L2,0.02,1,0.1,0.10088,conv1,train,30.024,25000,30
L2,0.02,1,0.1,0.10088,conv1,val,42.88,10000,30
L2,0.02,1,0.1,0.10088,conv3,train,0.004,25000,30
L2,0.02,1,0.1,0.10088,conv3,val,0.01,10000,30
L2,0.02,1,0.1,0.10088,fc1,train,0.004,25000,30
L2,0.02,1,0.1,0.10088,fc1,val,0.01,10000,30
L2,0.05,1,0.1,0.1012,conv1,train,3.46,25000,30
L2,0.05,1,0.1,0.1012,conv1,val,7.82,10000,30
L2,0.05,1,0.1,0.1012,conv3,train,0.004,25000,30
L2,0.05,1,0.1,0.1012,conv3,val,0.01,10000,30
L2,0.05,1,0.1,0.1012,fc1,train,0.004,25000,30
L2,0.05,1,0.1,0.1012,fc1,val,0.01,10000,30
L2,0.1,1,0.1,0.10088,conv1,train,0.004,25000,30
L2,0.1,1,0.1,0.10088,conv1,val,0.01,10000,30
L2,0.1,1,0.1,0.10088,conv3,train,0.004,25000,30
L2,0.1,1,0.1,0.10088,conv3,val,0.01,10000,30
L2,0.1,1,0.1,0.10088,fc1,train,0.004,25000,30
L2,0.1,1,0.1,0.10088,fc1,val,0.01,10000,30
L2,0.2,1,0.1,0.1012,conv1,train,0.004,25000,30
L2,0.2,1,0.1,0.1012,conv1,val,0.01,10000,30
L2,0.2,1,0.1,0.1012,conv3,train,0.004,25000,30
L2,0.2,1,0.1,0.1012,conv3,val,0.01,10000,30
L2,0.2,1,0.1,0.1012,fc1,train,0.004,25000,30
L2,0.2,1,0.1,0.1012,fc1,val,0.01,10000,30
