reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,unique_pctg_ORDERED,num_images,n_bins
L1,0.01,1,0.1,0.0996,conv3,train,0.004,25000,10
L1,0.01,1,0.1,0.0996,conv3,val,0.01,10000,10
L1,0.01,1,0.1,0.0996,fc1,train,0.004,25000,10
L1,0.01,1,0.1,0.0996,fc1,val,0.01,10000,10
L1,0.02,1,0.1,0.10148,conv1,train,0.004,25000,10
L1,0.02,1,0.1,0.10148,conv1,val,0.01,10000,10
L1,0.02,1,0.1,0.10148,conv3,train,0.004,25000,10
L1,0.02,1,0.1,0.10148,conv3,val,0.01,10000,10
L1,0.02,1,0.1,0.10148,fc1,train,0.004,25000,10
L1,0.02,1,0.1,0.10148,fc1,val,0.01,10000,10
L1,0.05,1,0.1,0.10028,conv1,train,0.004,25000,10
L1,0.05,1,0.1,0.10028,conv1,val,0.01,10000,10
L1,0.05,1,0.1,0.10028,conv3,train,0.004,25000,10
L1,0.05,1,0.1,0.10028,conv3,val,0.01,10000,10
L1,0.05,1,0.1,0.10028,fc1,train,0.004,25000,10
L1,0.05,1,0.1,0.10028,fc1,val,0.01,10000,10
L1,0.1,1,0.1,0.09916,conv1,train,0.004,25000,10
L1,0.1,1,0.1,0.09916,conv1,val,0.01,10000,10
L1,0.1,1,0.1,0.09916,conv3,train,0.004,25000,10
L1,0.1,1,0.1,0.09916,conv3,val,0.01,10000,10
L1,0.1,1,0.1,0.09916,fc1,train,0.004,25000,10
L1,0.1,1,0.1,0.09916,fc1,val,0.01,10000,10
L1,0.2,1,0.1,0.10028,conv1,train,0.004,25000,10
L1,0.2,1,0.1,0.10028,conv1,val,0.01,10000,10
L1,0.2,1,0.1,0.10028,conv3,train,0.004,25000,10
L1,0.2,1,0.1,0.10028,conv3,val,0.01,10000,10
L1,0.2,1,0.1,0.10028,fc1,train,0.004,25000,10
L1,0.2,1,0.1,0.10028,fc1,val,0.01,10000,10
L2,0.0,43,0.6931,0.99692,conv1,train,0.968,25000,10
L2,0.0,43,0.6931,0.99692,conv1,val,1.77,10000,10
L2,0.0,43,0.6931,0.99692,conv3,train,94.72,25000,10
L2,0.0,43,0.6931,0.99692,conv3,val,95.78,10000,10
L2,0.0,43,0.6931,0.99692,fc1,train,99.976,25000,10
L2,0.0,43,0.6931,0.99692,fc1,val,99.97,10000,10
L2,0.0001,57,0.7136,1.0,conv1,train,0.7799999999999999,25000,10
L2,0.0001,57,0.7136,1.0,conv1,val,1.51,10000,10
L2,0.0001,57,0.7136,1.0,conv3,train,48.384,25000,10
L2,0.0001,57,0.7136,1.0,conv3,val,53.23,10000,10
L2,0.0001,57,0.7136,1.0,fc1,train,97.936,25000,10
L2,0.0001,57,0.7136,1.0,fc1,val,98.08,10000,10
L2,0.0005,57,0.7069,0.99996,conv1,train,0.5680000000000001,25000,10
L2,0.0005,57,0.7069,0.99996,conv1,val,1.0999999999999999,10000,10
L2,0.0005,57,0.7069,0.99996,conv3,train,17.88,25000,10
L2,0.0005,57,0.7069,0.99996,conv3,val,21.349999999999998,10000,10
L2,0.0005,57,0.7069,0.99996,fc1,train,76.352,25000,10
L2,0.0005,57,0.7069,0.99996,fc1,val,78.14,10000,10
L2,0.001,41,0.7057,0.98344,conv1,train,0.464,25000,10
L2,0.001,41,0.7057,0.98344,conv1,val,0.89,10000,10
L2,0.001,41,0.7057,0.98344,conv3,train,4.52,25000,10
L2,0.001,41,0.7057,0.98344,conv3,val,5.89,10000,10
L2,0.001,41,0.7057,0.98344,fc1,train,38.668,25000,10
L2,0.001,41,0.7057,0.98344,fc1,val,40.98,10000,10
L2,0.0015,43,0.6993,0.96996,conv1,train,0.45199999999999996,25000,10
L2,0.0015,43,0.6993,0.96996,conv1,val,0.8200000000000001,10000,10
